id,labels
U9213,"madison wisconsin area, tsinghua university, epic, indiana university bloomington, stony brook university, tsinghua university"
U9218,"san francisco bay area, tsinghua university, apple, canesta, netease"
U26168,"urbana-champaign illinois area, university of illinois at urbana-champaign"
U26200,"san francisco bay area, yelp.com"
U2518,"beijing city china, zhejiang university, netease, pattern insight (acquired by vmware), netapp, hewlett-packard"
U806,"urbana-champaign illinois area, state farm insurance, university of illinois at urbana-champaign, american educational research association"
U26199,"san francisco bay area, yelp.com"
U26198,"shanghai city china, shanghai jiao tong university, emc, actuate, china telecom"
U26193,"sacramento california area, shanghai jiao tong university, greenplum, computer science department uc davis, school of software shanghai jiaotong university"
U26192,urbana-champaign illinois area
U566,"greater chicago area, sun yat-sen university	jul 2010, xr trading, marketaxess ltd, cozad asset management inc, accenture beijing, china development bank, china mobile"
U26190,puranpur area india
U26197,"shanghai city china, shanghai jiao tong university, siemens healthcare, shanghai office zhenjiang ymx garment co., shanghai jiaoyun group"
U561,"greater seattle area, fudan university, facebook, microsoft, university of waterloo"
U26195,"greater new york city area, university of illinois at urbana-champaign, altfest personal wealth management, swaps monitor publications inc., quirky.com, illinois business consulting, china mobile"
U26194,"washington d.c. metro area, west virginia wesleyan college, rock creek group, computer sciences corporation, mountain state information systems inc."
U4269,"urbana-champaign illinois area, huazhong university of science and technology, university of illinois at urbana-champaign, ibm"
U14709,"urbana-champaign illinois area, indiana university - kelley school of business, indiana university bloomington, university of illinois at urbana-champaign, blocher consulting, us army corps of engineers, iowa state university, trilogy computing llc, indiana university, hong kong children's go academy (&#x9999;&#x6e2f;&#x513f;&#x7ae5;&#x56f4;&#x68cb;&#x5b66;&#x9662;), general mills, abstrax inc."
U19985,"china, peking university, tsinghua university, tsinghua university, microsoft research asia, carnegie mellon university"
U4266,"san francisco bay area, shanghai jiao tong university, google, university of illinois at urbana-champaign, samsung, bell laboratories"
U11311,"china, university of illinois at urbana-champaign"
U10528,"san francisco bay area, visvesvaraya technological university, linkedin, business.com inc, suny at buffalo, cedar suny buffalo, i2 technologies india pvt. ltd, aalayance e com services pvt. ltd, aalayance ecom services pvt. ltd"
U515,"greater new york city area, quant staffings llc"
U26287,"shanghai city china, emsi"
U26286,"hong kong, hong kong university of science and technology, citic securities international, sail advisors, guoyuan securities (hongkong)"
U23057,"china, shanghai jiao tong university, alibaba cloud computing company, microsoft, morgan stanley"
U26284,greater boston area
U26283,"china, zhejiang university, alibaba cloud computing company, microsoft research asia"
U26282,"hong kong, south china university of technology, deloitte, beijing ruizhi education consulting co. ltd., dragon republic llc"
U26281,"dallas fort worth area, shanghai maritime university, toastmasters international's global communication leaders club, ascend ut-dallas chapter, irs volunteer income tax assistance (vita), vocation international cpa co ltd (baker tilly international)"
U26280,"greater seattle area, amazon.com"
U26289,"beijing city china, china center for consumer and retail investment research, business development asia llc"
U26288,"greater san diego area, qeebu interaction technology"
U28818,"greater new york city area, morgan stanley"
U9743,"greater new york city area, huazhong university of science and technology (hust wuhan china), chongqing institute of green and intelligent technology chinese academy of sciences, linkedin website, meihua international group corporation (nj usa) &#x7f8e;&#x534e;&#x56fd;&#x9645;&#x96c6;&#x56e2;&#x516c;&#x53f8; (&#x7efc;&#x5408;&#x6027;&#x9ad8;&#x7ea7;&#x670d;&#x52a1;&#x96c6;&#x56e2;&#x516c;&#x53f8;&#xff09;, hust alumni association in greater nyc (&#x534e;&#x4e2d;&#x79d1;&#x6280;&#x5927;&#x5b66;&#x5927;&#x7ebd;&#x7ea6;&#x5730;&#x533a;&#x6821;&#x53cb;&#x4f1a;), multiple employers in greater nyc (nj nyc ct), huazhong university of science and technology (hust wuhan china) &#x534e;&#x4e2d;&#x79d1;&#x6280;&#x5927;&#x5b66; &#x6b66;&#x6c49;"
U28814,"greater philadelphia area, university of delaware"
U894,"urbana-champaign illinois area, university of illinois at urbana-champaign, university of illinois at urbana-champaign, amazon web services, yahoo!"
U17561,"urbana-champaign illinois area, university of illinois at urbana-champaign"
U948,"greater new york city area, nanjing university, options group, harvard university center for workplace development"
U2460,"greater san diego area, zhejiang university, pattern insight, university of illinois at urbana-champaign, uc san diego"
U864,"greater new york city area, university of illinois at urbana-champaign, cicc, china life insurance co.ltd"
U26141,"urbana-champaign illinois area, university of illinois at urbana-champaign - college of business, pwc, steptoe &amp; johnson llp, walmart, nokia, renmin university of china"
U2463,"urbana-champaign illinois area, tsinghua university, university of illinois at urbana-champaign"
U29,"san francisco bay area, south china university of technology, yahoo! labs"
U2466,"san francisco bay area, university of science and technology of china, adobe systems, university of illinois at urbana-champaign, kodak research lab, nec laboratories america"
U862,"urbana-champaign illinois area, paypal"
U26175,"san francisco bay area, google"
U5846,"other, ned university of engineering and technology, transaction processing systems, siemens pakistan. engg. co. ltd, sui southern gas company, pakistan state oil company (pso)"
U26278,"san francisco bay area, shanghai jiao tong university, berkeley wireless research center, rambus"
U26279,"greater los angeles area, wavelio, thankify, stamps and stamps inc"
U26171,"greater new york city area, university of illinois at urbana-champaign - college of business, hsbc, deloitte private client services, ge, sha inc"
