id,labels
U16449,university of illinois at urbana-champaign
U6099,university of illinois at urbana-champaign
U26201,shanghai jiao tong university
U7788,"shanghai jiao tong university, university of illinois at urbana-champaign"
U6657,"google, university of illinois at urbana-champaign"
U7780,"university of illinois at urbana-champaign, shanghai jiao tong university"
U7781,university of illinois at urbana-champaign
U2697,"shanghai jiao tong university, university of illinois at urbana-champaign"
U7786,shanghai jiao tong university
U27509,university of illinois at urbana-champaign
U27508,university of illinois at urbana-champaign
U26193,shanghai jiao tong university
U27502,university of illinois at urbana-champaign
U26196,university of illinois at urbana-champaign
U27505,google
U4266,"shanghai jiao tong university, google, university of illinois at urbana-champaign"
U27594,shanghai jiao tong university
U24839,google
U27476,shanghai jiao tong university
U23057,shanghai jiao tong university
U27472,shanghai jiao tong university
U27455,university of illinois at urbana-champaign
U27575,"shanghai jiao tong university, shanghai jiao tong university"
U6142,university of illinois at urbana-champaign
U6141,university of illinois at urbana-champaign
U13986,"university of illinois at urbana-champaign, google"
U27651,university of illinois at urbana-champaign
U27655,shanghai jiao tong university
U17561,university of illinois at urbana-champaign
U869,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U11584,shanghai jiao tong university
U2460,university of illinois at urbana-champaign
U24086,university of illinois at urbana-champaign
U2463,university of illinois at urbana-champaign
U2523,google
U2466,university of illinois at urbana-champaign
U24080,"google, university of illinois at urbana-champaign"
U26278,shanghai jiao tong university
U26170,shanghai jiao tong university
U26172,shanghai jiao tong university
U27483,shanghai jiao tong university
U27480,google
U27481,"shanghai jiao tong university, shanghai jiao tong university"
U26178,shanghai jiao tong university
U26274,google
U27485,shanghai jiao tong university
U20128,google
U4283,shanghai jiao tong university
U17690,university of illinois at urbana-champaign
U20126,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U20120,university of illinois at urbana-champaign
U20121,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U20122,google
U20123,"university of illinois at urbana-champaign, university of illinois at urbana-champaign, google"
U9313,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U11598,"shanghai jiao tong university, shanghai jiao tong university"
U11591,university of illinois at urbana-champaign
U11590,university of illinois at urbana-champaign
U9250,google
U11592,"shanghai jiao tong university, university of illinois at urbana-champaign"
U11594,shanghai jiao tong university
U7748,university of illinois at urbana-champaign
U7749,university of illinois at urbana-champaign
U7744,university of illinois at urbana-champaign
U7745,google
U7742,university of illinois at urbana-champaign
U7743,shanghai jiao tong university
U7740,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U11505,"university of illinois at urbana-champaign, shanghai jiao tong university, university of illinois at urbana-champaign, google"
U6818,university of illinois at urbana-champaign
U2641,university of illinois at urbana-champaign
U2642,university of illinois at urbana-champaign
U2648,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U2486,university of illinois at urbana-champaign
U3989,shanghai jiao tong university
U3982,shanghai jiao tong university
U3986,"shanghai jiao tong university, google"
U3987,shanghai jiao tong university
U27532,shanghai jiao tong university
U27533,university of illinois at urbana-champaign
U27530,university of illinois at urbana-champaign
U4254,university of illinois at urbana-champaign
U4253,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U3155,university of illinois at urbana-champaign
U19951,shanghai jiao tong university
U19950,"shanghai jiao tong university, google, shanghai jiao tong university"
U7738,shanghai jiao tong university
U19957,shanghai jiao tong university
U19956,"shanghai jiao tong university, shanghai jiao tong university"
U2635,university of illinois at urbana-champaign
U2636,university of illinois at urbana-champaign
U2631,google
U2630,shanghai jiao tong university
U2733,shanghai jiao tong university
U823,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U822,university of illinois at urbana-champaign
U27288,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U27287,"university of illinois at urbana-champaign, shanghai jiao tong university, university of illinois at urbana-champaign"
U26139,shanghai jiao tong university
U26131,google
U26130,shanghai jiao tong university
U8846,shanghai jiao tong university
U7319,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U6793,"university of illinois at urbana-champaign, shanghai jiao tong university, university of illinois at urbana-champaign, google"
U7706,shanghai jiao tong university
U7707,shanghai jiao tong university
U6794,"university of illinois at urbana-champaign, shanghai jiao tong university"
U6795,university of illinois at urbana-champaign
U2436,"google, university of illinois at urbana-champaign"
U2450,university of illinois at urbana-champaign
U853,university of illinois at urbana-champaign
U2459,google
U917,university of illinois at urbana-champaign
U27661,"shanghai jiao tong university, google"
U20186,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U2448,university of illinois at urbana-champaign
U4609,university of illinois at urbana-champaign
U16325,shanghai jiao tong university
U7777,"shanghai jiao tong university, google"
U4601,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U20172,university of illinois at urbana-champaign
U10513,shanghai jiao tong university
U9225,google
U6086,university of illinois at urbana-champaign
U2689,university of illinois at urbana-champaign
U11558,"shanghai jiao tong university, google"
U10321,university of illinois at urbana-champaign
U10320,university of illinois at urbana-champaign
U11557,shanghai jiao tong university
U11498,google
U576,shanghai jiao tong university
U4512,university of illinois at urbana-champaign
U825,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U24827,university of illinois at urbana-champaign
U7094,"university of illinois at urbana-champaign, google, university of illinois at urbana-champaign"
U2673,university of illinois at urbana-champaign
U2672,university of illinois at urbana-champaign
U2674,university of illinois at urbana-champaign
U7821,university of illinois at urbana-champaign
U7820,university of illinois at urbana-champaign
U27565,shanghai jiao tong university
U27564,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U27566,shanghai jiao tong university
U27562,google
U26261,university of illinois at urbana-champaign
U7898,"shanghai jiao tong university, university of illinois at urbana-champaign"
U26260,shanghai jiao tong university
U8602,university of illinois at urbana-champaign
U2708,google
U7891,university of illinois at urbana-champaign
U6517,"shanghai jiao tong university, google"
U20148,google
U20146,university of illinois at urbana-champaign
U20147,google
U8543,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U20142,university of illinois at urbana-champaign
U20141,university of illinois at urbana-champaign
U27705,university of illinois at urbana-champaign
U27706,shanghai jiao tong university
U26140,shanghai jiao tong university
U26142,shanghai jiao tong university
U26147,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U27491,shanghai jiao tong university
U27490,google
U27493,shanghai jiao tong university
U27494,"shanghai jiao tong university, google"
U27497,shanghai jiao tong university
U20138,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U27798,shanghai jiao tong university
U493,google
U25563,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U9306,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U7778,shanghai jiao tong university
U27631,"shanghai jiao tong university, shanghai jiao tong university"
U27630,shanghai jiao tong university
U923,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U7773,"shanghai jiao tong university, shanghai jiao tong university"
U7772,shanghai jiao tong university
U7771,shanghai jiao tong university
U7770,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U27639,university of illinois at urbana-champaign
U20131,university of illinois at urbana-champaign
U5824,university of illinois at urbana-champaign
U9398,"shanghai jiao tong university, google"
U4021,shanghai jiao tong university
U9391,"shanghai jiao tong university, google"
U9397,shanghai jiao tong university
U9395,shanghai jiao tong university
U6077,"shanghai jiao tong university, university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U12733,shanghai jiao tong university
U16552,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U16491,"university of illinois at urbana-champaign, university of illinois at urbana-champaign, google"
U27521,university of illinois at urbana-champaign
U27520,university of illinois at urbana-champaign
U27525,shanghai jiao tong university
U27529,"shanghai jiao tong university, shanghai jiao tong university"
U27528,shanghai jiao tong university
U19964,"shanghai jiao tong university, shanghai jiao tong university"
U19966,"shanghai jiao tong university, google"
U19967,shanghai jiao tong university
U19961,google
U3955,google
U3954,shanghai jiao tong university
U3958,shanghai jiao tong university
U19968,shanghai jiao tong university
U6115,shanghai jiao tong university
U6116,"shanghai jiao tong university, university of illinois at urbana-champaign"
U4568,"shanghai jiao tong university, google, university of illinois at urbana-champaign"
U4562,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U4567,university of illinois at urbana-champaign
U532,shanghai jiao tong university
U539,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U27292,university of illinois at urbana-champaign
U27295,university of illinois at urbana-champaign
U1924,"university of illinois at urbana-champaign, shanghai jiao tong university, university of illinois at urbana-champaign, google"
U3253,university of illinois at urbana-champaign
U27591,google
U695,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U3258,university of illinois at urbana-champaign
U27457,shanghai jiao tong university
U27456,shanghai jiao tong university
U27598,shanghai jiao tong university
U6164,"shanghai jiao tong university, shanghai jiao tong university"
U27684,shanghai jiao tong university
U7705,"university of illinois at urbana-champaign, shanghai jiao tong university, university of illinois at urbana-champaign, google"
U24046,"university of illinois at urbana-champaign, google"
U24045,university of illinois at urbana-champaign
U17402,university of illinois at urbana-champaign
U9182,university of illinois at urbana-champaign
U7739,shanghai jiao tong university
U9181,university of illinois at urbana-champaign
U7736,google
U7734,"shanghai jiao tong university, google"
U7732,shanghai jiao tong university
U7731,shanghai jiao tong university
U7730,"shanghai jiao tong university, google"
U27678,google
U2440,"university of illinois at urbana-champaign, google"
U2441,university of illinois at urbana-champaign
U27671,university of illinois at urbana-champaign
U27670,google
U6527,google
U27675,"shanghai jiao tong university, google"
U27674,shanghai jiao tong university
U27677,university of illinois at urbana-champaign
U27676,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U26210,shanghai jiao tong university
U3948,"shanghai jiao tong university, google"
U19946,shanghai jiao tong university
U2594,university of illinois at urbana-champaign
U27278,university of illinois at urbana-champaign
U11569,"shanghai jiao tong university, google, shanghai jiao tong university"
U19523,"university of illinois at urbana-champaign, google"
U11560,shanghai jiao tong university
U11562,"shanghai jiao tong university, university of illinois at urbana-champaign"
U11563,university of illinois at urbana-champaign
U11564,shanghai jiao tong university
U11565,google
U11566,"university of illinois at urbana-champaign, google"
U3917,shanghai jiao tong university
U3916,"shanghai jiao tong university, google, shanghai jiao tong university"
U3913,"shanghai jiao tong university, google"
U3910,shanghai jiao tong university
U4445,university of illinois at urbana-champaign
U19849,university of illinois at urbana-champaign
U9801,shanghai jiao tong university
U27559,"shanghai jiao tong university, shanghai jiao tong university"
U6125,university of illinois at urbana-champaign
U6129,university of illinois at urbana-champaign
U6128,university of illinois at urbana-champaign
U27553,shanghai jiao tong university
U27556,university of illinois at urbana-champaign
U19939,"shanghai jiao tong university, google"
U19938,shanghai jiao tong university
U19936,shanghai jiao tong university
U19935,"shanghai jiao tong university, google"
U2713,university of illinois at urbana-champaign
U664,university of illinois at urbana-champaign
U20155,university of illinois at urbana-champaign
U20154,university of illinois at urbana-champaign
U24102,university of illinois at urbana-champaign
U2619,university of illinois at urbana-champaign
U27302,university of illinois at urbana-champaign
U26154,university of illinois at urbana-champaign
U26153,google
U892,google
U894,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U8701,"google, university of illinois at urbana-champaign"
U897,university of illinois at urbana-champaign
U486,university of illinois at urbana-champaign
U7760,"university of illinois at urbana-champaign, shanghai jiao tong university, university of illinois at urbana-champaign, google"
U7768,university of illinois at urbana-champaign
U7769,university of illinois at urbana-champaign
U27602,google
U27603,shanghai jiao tong university
U930,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U7292,university of illinois at urbana-champaign
U2438,university of illinois at urbana-champaign
U2433,university of illinois at urbana-champaign
U4665,university of illinois at urbana-champaign
U9389,"shanghai jiao tong university, google"
U4011,shanghai jiao tong university
U4014,"shanghai jiao tong university, shanghai jiao tong university"
U6078,university of illinois at urbana-champaign
U7799,university of illinois at urbana-champaign
U2506,"shanghai jiao tong university, university of illinois at urbana-champaign"
U2501,university of illinois at urbana-champaign
U26112,shanghai jiao tong university
U26111,shanghai jiao tong university
U7797,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U9273,google
U16546,university of illinois at urbana-champaign
U16233,"university of illinois at urbana-champaign, google"
U27519,shanghai jiao tong university
U27515,shanghai jiao tong university
U26180,shanghai jiao tong university
U19972,shanghai jiao tong university
U19971,"shanghai jiao tong university, google"
U19977,google
U3949,shanghai jiao tong university
U19974,shanghai jiao tong university
U8678,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U4475,university of illinois at urbana-champaign
U3893,shanghai jiao tong university
U3895,"shanghai jiao tong university, google"
U3898,shanghai jiao tong university
U2618,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U13626,google
U7804,"shanghai jiao tong university, university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U7801,shanghai jiao tong university
U24792,university of illinois at urbana-champaign
U26113,"shanghai jiao tong university, google"
U27469,university of illinois at urbana-champaign
U27581,shanghai jiao tong university
U26116,shanghai jiao tong university
U27589,shanghai jiao tong university
U27463,shanghai jiao tong university
U27466,university of illinois at urbana-champaign
U11405,shanghai jiao tong university
U16127,university of illinois at urbana-champaign
U7875,university of illinois at urbana-champaign
U27618,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U9754,google
U7728,shanghai jiao tong university
U6,"shanghai jiao tong university, google"
U7724,shanghai jiao tong university
U7725,university of illinois at urbana-champaign
U7726,university of illinois at urbana-champaign
U7727,university of illinois at urbana-champaign
U871,university of illinois at urbana-champaign
U27551,"shanghai jiao tong university, university of illinois at urbana-champaign"
U4628,university of illinois at urbana-champaign
U2475,"university of illinois at urbana-champaign, google"
U26206,university of illinois at urbana-champaign
U11400,shanghai jiao tong university
U26168,university of illinois at urbana-champaign
U11404,google
U20115,shanghai jiao tong university
U4293,university of illinois at urbana-champaign
U20116,google
U11491,google
U11583,university of illinois at urbana-champaign
U11580,google
U11581,university of illinois at urbana-champaign
U9247,university of illinois at urbana-champaign
U11585,google
U11554,"university of illinois at urbana-champaign, shanghai jiao tong university, university of illinois at urbana-champaign, google"
U7755,shanghai jiao tong university
U7754,university of illinois at urbana-champaign
U7756,"shanghai jiao tong university, google"
U7753,shanghai jiao tong university
U11577,shanghai jiao tong university
U11576,shanghai jiao tong university
U11575,"shanghai jiao tong university, google"
U11574,shanghai jiao tong university
U11573,"university of illinois at urbana-champaign, google"
U11572,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U11571,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U7027,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U11579,shanghai jiao tong university
U11578,university of illinois at urbana-champaign
U9405,university of illinois at urbana-champaign
U16377,university of illinois at urbana-champaign
U4586,university of illinois at urbana-champaign
U3900,shanghai jiao tong university
U19962,shanghai jiao tong university
U19963,shanghai jiao tong university
U2657,university of illinois at urbana-champaign
U2656,university of illinois at urbana-champaign
U2655,university of illinois at urbana-champaign
U6113,university of illinois at urbana-champaign
U11612,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U27547,shanghai jiao tong university
U7723,shanghai jiao tong university
U4878,shanghai jiao tong university
U1004,google
U6137,university of illinois at urbana-champaign
U6138,university of illinois at urbana-champaign
U19948,shanghai jiao tong university
U19949,shanghai jiao tong university
U19940,shanghai jiao tong university
U19941,"shanghai jiao tong university, google, shanghai jiao tong university"
U2059,google
U19944,shanghai jiao tong university
U2723,google
U550,shanghai jiao tong university
U836,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U834,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U8766,"shanghai jiao tong university, university of illinois at urbana-champaign"
U8769,university of illinois at urbana-champaign
U27685,university of illinois at urbana-champaign
U27686,google
U20167,university of illinois at urbana-champaign
U26240,university of illinois at urbana-champaign
U26247,university of illinois at urbana-champaign
U911,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U6187,university of illinois at urbana-champaign
U26128,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U19318,university of illinois at urbana-champaign
U7711,shanghai jiao tong university
U7710,shanghai jiao tong university
U7713,shanghai jiao tong university
U7714,"shanghai jiao tong university, google"
U7717,"shanghai jiao tong university, google"
U19462,"university of illinois at urbana-champaign, google"
U7718,shanghai jiao tong university
U2424,university of illinois at urbana-champaign
U2425,university of illinois at urbana-champaign
U2427,university of illinois at urbana-champaign
U907,google
U27619,shanghai jiao tong university
U905,university of illinois at urbana-champaign
U27616,shanghai jiao tong university
U2584,"shanghai jiao tong university, university of illinois at urbana-champaign, shanghai jiao tong university"
U2428,"university of illinois at urbana-champaign, university of illinois at urbana-champaign"
U11434,shanghai jiao tong university
U4615,google
