id,labels
U26621,colombia
U26620,china
U26623,"china, zhejiang university"
U26622,"hong kong, zhejiang university, ebay"
U26625,"greater new york city area, zhejiang university, dtcc, promed personnel services, zhongshan local taxation bureau zhongshan china, foshan local taxation bureau foshan china, zhejiang university"
U26624,toronto canada area
U26627,shanghai city china
U26626,"hong kong, beijing university of post and telecommunications, j.p. morgan, carnegie mellon university, national university of singapore, microsoft research asia"
U26629,singapore
U26628,china
U568,"hong kong, zhejiang university, chinese university of hong kong"
U569,san francisco bay area
U564,hong kong
U565,beijing city china
U566,"greater chicago area, sun yat-sen university	jul 2010, xr trading, marketaxess ltd, cozad asset management inc, accenture beijing, china development bank, china mobile"
U567,china
U560,"cambridge united kingdom, chinese university of hong kong, time best technology ltd, itmsoil, university of cambridge, chinese university of hong kong"
U561,"greater seattle area, fudan university, facebook, microsoft, university of waterloo"
U562,"san francisco bay area, south china university of technology, modcloth, uctid, resolve, synaptic science"
U563,"nîmes area france, anhui university, inria university of avignon"
U2011,china
U2013,"hong kong, chinese university of hong kong, amazon, oracle, hkex"
U2015,"hong kong, indian institute of technology bombay, aidyia limited, yahoo!, trilogy"
U2017,uppsala sweden
U519,greater los angeles area
U518,greater seattle area
U18194,"china, northeast normal university, microsoft, e4u"
U511,hong kong
U510,"greater chicago area, beijing jiaotong university, ch2m hill, champaign county regional planning commission, university of illinois at urbana-champaign, china communications construction company limited"
U513,"hyderabad area india, kurukshetra university, google, amd, mindsol information services, bp australia"
U512,hong kong
U515,"greater new york city area, quant staffings llc"
U514,"san francisco bay area, south china university of technology, google, tencent"
U517,"beijing city china, north china university of technology, alibaba cloud computing company"
U516,"hong kong, chinese university of hong kong, ecvision, faszion, computer sciences corporation, microsoft corporation, chinese university of hong kong"
U26579,china
U26578,"hong kong, zhejiang university, barclays capital, microsoft"
U26571,"beijing city china, jilin university, google, netease youdao"
U26570,greater new york city area
U26573,"hong kong, xi'an jiaotong university, astri, webnova ltd, hkust"
U26572,"hong kong, chinese university of hong kong, cosco international holdings, eternal pearl securities ltd. hk"
U26575,"china, university of science and technology of china, microsoft research asia"
U26574,"singapore, zhejiang university, fujitsu r &amp; d center, microsoft"
U26577,"singapore, nanyang technological university, amazon, institute for infocomm research, national university of singapore"
U26576,"shanghai city china, south china agricultural university, google, prestige international associates co. ltd, human capital partners, fiducia management consultants"
U605,"china, sun yat-sen university, yahoo!, google"
