id,name,labels
0,Node0,"A, C, B, E, D, F"
1,Node1,"A, D"
2,Node2,"A, D"
3,Node3,
4,Node4,"A, D"
5,Node5,"A, D"
6,Node6,
7,Node7,
8,Node8,
9,Node9,"B, E"
10,Node10,
11,Node11,
12,Node12,"C, F"
13,Node13,"A, D"
14,Node14,"C, B, E, F"
15,Node15,"C, B, E, F"
16,Node16,"A, D"
17,Node17,
18,Node18,
19,Node19,"C, B, E, F"
20,Node20,
21,Node21,"C, F"
22,Node22,"C, B, E, F"
23,Node23,
24,Node24,
25,Node25,
26,Node26,
27,Node27,"C, F"
28,Node28,"B, E"
29,Node29,
30,Node30,
31,Node31,"C, F"
32,Node32,"B, E"
33,Node33,"C, F"
34,Node34,"B, E"
35,Node35,
36,Node36,"C, F"
37,Node37,"C, F"
38,Node38,"A, D"
39,Node39,"A, C, D, F"
40,Node40,"B, E"
41,Node41,
42,Node42,
43,Node43,"C, B, E, F"
44,Node44,"C, F"
45,Node45,"C, B, E, F"
46,Node46,"A, C, B, E, D, F"
47,Node47,
48,Node48,"B, E"
49,Node49,"A, D"
50,Node50,"C, B, E, F"
51,Node51,
52,Node52,"A, D"
53,Node53,
54,Node54,
55,Node55,"B, E"
56,Node56,"B, E"
57,Node57,"C, F"
58,Node58,"A, D"
59,Node59,
60,Node60,
61,Node61,"A, D"
62,Node62,
63,Node63,
64,Node64,
65,Node65,"C, B, E, F"
66,Node66,"A, D"
67,Node67,"B, E"
68,Node68,
69,Node69,
70,Node70,"B, E"
71,Node71,
72,Node72,
73,Node73,"C, B, E, F"
74,Node74,
75,Node75,
76,Node76,"C, F"
77,Node77,"A, D"
78,Node78,
79,Node79,
80,Node80,"B, E"
81,Node81,"C, F"
82,Node82,"A, C, D, F"
83,Node83,
84,Node84,
85,Node85,"C, F"
86,Node86,"A, D"
87,Node87,"B, E"
88,Node88,"A, B, E, D"
89,Node89,"A, D"
90,Node90,"B, E"
91,Node91,"A, D"
92,Node92,"A, D"
93,Node93,"C, F"
94,Node94,"A, C, D, F"
95,Node95,
96,Node96,"C, F"
97,Node97,"B, E"
98,Node98,
99,Node99,"B, E"
100,Node100,
101,Node101,
102,Node102,
103,Node103,
104,Node104,"A, D"
105,Node105,"C, F"
106,Node106,"A, C, D, F"
107,Node107,"B, E"
108,Node108,
109,Node109,"A, D"
110,Node110,"A, D"
111,Node111,"A, D"
112,Node112,"A, C, B, E, D, F"
113,Node113,"C, B, E, F"
114,Node114,
115,Node115,
116,Node116,
117,Node117,"B, E"
118,Node118,
119,Node119,"B, E"
120,Node120,"A, B, E, D"
121,Node121,
122,Node122,"A, D"
123,Node123,"B, E"
124,Node124,"C, F"
125,Node125,
126,Node126,"C, B, E, F"
127,Node127,
128,Node128,"A, C, D, F"
129,Node129,"B, E"
130,Node130,"C, F"
131,Node131,"B, E"
132,Node132,"A, B, E, D"
133,Node133,"A, D"
134,Node134,
135,Node135,"A, D"
136,Node136,
137,Node137,
138,Node138,
139,Node139,
140,Node140,
141,Node141,"A, C, D, F"
142,Node142,
143,Node143,"B, E"
144,Node144,
145,Node145,"A, B, E, D"
146,Node146,
147,Node147,
148,Node148,
149,Node149,
150,Node150,"B, E"
151,Node151,"B, E"
152,Node152,"B, E"
153,Node153,
154,Node154,
155,Node155,
156,Node156,
157,Node157,
158,Node158,
159,Node159,"A, C, D, F"
160,Node160,
161,Node161,
162,Node162,
163,Node163,"B, E"
164,Node164,
165,Node165,
166,Node166,
167,Node167,
168,Node168,"B, E"
169,Node169,"A, B, E, D"
170,Node170,
171,Node171,
172,Node172,
173,Node173,"B, E"
174,Node174,"A, C, D, F"
175,Node175,"A, D"
176,Node176,
177,Node177,"A, B, E, D"
178,Node178,
179,Node179,
180,Node180,"B, E"
181,Node181,
182,Node182,
183,Node183,"B, E"
184,Node184,"B, E"
185,Node185,
186,Node186,
187,Node187,"B, E"
188,Node188,"C, F"
189,Node189,
190,Node190,"C, F"
191,Node191,
192,Node192,"C, F"
193,Node193,
194,Node194,"B, E"
195,Node195,
196,Node196,"A, D"
197,Node197,"C, F"
198,Node198,"B, E"
199,Node199,
200,Node200,"A, D"
201,Node201,"C, F"
202,Node202,
203,Node203,"A, C, D, F"
204,Node204,"C, F"
205,Node205,"A, C, D, F"
206,Node206,
207,Node207,
208,Node208,
209,Node209,
210,Node210,
211,Node211,
212,Node212,"C, F"
213,Node213,
214,Node214,
215,Node215,"C, F"
216,Node216,"A, B, E, D"
217,Node217,"B, E"
218,Node218,"A, D"
219,Node219,"B, E"
220,Node220,"C, F"
221,Node221,"A, D"
222,Node222,"A, C, B, E, D, F"
223,Node223,"A, C, D, F"
224,Node224,
225,Node225,
226,Node226,"C, F"
227,Node227,
228,Node228,
229,Node229,"A, D"
230,Node230,"C, F"
231,Node231,"B, E"
232,Node232,"A, C, D, F"
233,Node233,
234,Node234,"C, F"
235,Node235,
236,Node236,"C, F"
237,Node237,"C, B, E, F"
238,Node238,"A, C, D, F"
239,Node239,
240,Node240,
241,Node241,"C, B, E, F"
242,Node242,
243,Node243,
244,Node244,
245,Node245,"A, C, D, F"
246,Node246,"A, D"
247,Node247,"B, E"
248,Node248,"A, D"
249,Node249,
250,Node250,"A, D"
251,Node251,"C, F"
252,Node252,"A, B, E, D"
253,Node253,"B, E"
254,Node254,"C, F"
255,Node255,
256,Node256,"A, B, E, D"
257,Node257,"A, D"
258,Node258,
259,Node259,
260,Node260,
261,Node261,"A, B, E, D"
262,Node262,
263,Node263,"C, B, E, F"
264,Node264,
265,Node265,
266,Node266,"C, F"
267,Node267,"C, F"
268,Node268,"C, F"
269,Node269,
270,Node270,"B, E"
271,Node271,"B, E"
272,Node272,"A, D"
273,Node273,"A, B, E, D"
274,Node274,
275,Node275,
276,Node276,
